CMA_ID,CMA_Name,Transit_Distance_Category,Col_15to64years2023,Col_15to64years2024,Col_65yearsandover2023,Col_65yearsandover2024,Employed2023,Employed2024,Inthelabourforce2023,Inthelabourforce2024,Notinthelabourforce2023,Notinthelabourforce2024,TotalAgegroupsofthepopulation100data2023,TotalAgegroupsofthepopulation100data2024,TotalPopulationaged15yearsandoverbylabourforcestatus25sampledata2023,TotalPopulationaged15yearsandoverbylabourforcestatus25sampledata2024,Unemployed2023,Unemployed2024,Commute_Avg_Cartruckorvan,Commute_Avg_Publictransit,Commute_Avg_Sustainabletransportation,Commute_Avg_TotalMainmodeofcommuting,Employmentrate2023,Employmentrate2024,Participationrate2023,Participationrate2024,Population2023,Population2024,Unemploymentrate2023,Unemploymentrate2024
2021S0503535,Toronto,500 metres from all public transit stops,83.6,84.5,83.2,83.9,82.8,83.9,83.1,84.1,83.8,84.5,83.2,84.2,83.4,84.3,85.2,86.0,27.9,48.4,39.4,30.1,63.49166666666667,61.65,67.72500000000001,66.86666666666666,5680.008333333334,5940.925,6.258333333333333,7.7749999999999995
2021S0503537,Hamilton,500 metres from all public transit stops,71.9,72.2,73.0,73.2,70.0,70.4,70.6,71.0,74.2,74.4,71.5,71.8,71.9,72.2,75.0,75.5,22.1,37.9,26.3,22.4,60.949999999999996,60.725,64.33333333333333,65.09166666666667,697.9833333333332,713.225,5.3,6.708333333333333
2021S0503539,St. Catharines - Niagara,500 metres from all public transit stops,62.0,61.9,58.7,58.7,59.2,59.1,60.6,60.6,61.6,61.6,60.8,60.8,61.0,61.0,68.0,68.0,17.3,31.5,18.0,17.1,58.30833333333334,56.09166666666667,61.78333333333333,60.65833333333333,400.14166666666665,414.90000000000003,5.6499999999999995,7.5
2021S0503541,Kitchener - Cambridge - Waterloo,500 metres from all public transit stops,77.8,76.0,76.9,75.3,76.2,74.3,76.7,74.9,78.8,77.2,76.9,75.2,77.4,75.6,80.9,79.2,20.0,37.7,25.8,20.3,65.58333333333333,65.39999999999999,69.76666666666667,70.25833333333334,542.9583333333334,578.6416666666668,6.0,6.941666666666666
2021S0503543,Brantford,500 metres from all public transit stops,65.9,66.0,64.2,64.2,62.9,63.0,63.9,64.0,68.0,68.1,65.4,65.4,65.4,65.5,71.7,71.8,20.1,35.3,20.8,19.9,64.00833333333334,62.48333333333333,67.15833333333333,66.21666666666667,131.45000000000002,136.46666666666667,4.658333333333333,5.666666666666667
2021S0503550,Guelph,500 metres from all public transit stops,77.4,76.9,74.0,74.3,76.3,75.8,76.8,76.2,76.0,76.1,76.6,76.1,76.5,76.2,81.0,80.1,21.6,34.6,22.8,21.5,68.51666666666667,67.08333333333333,71.675,70.44166666666666,150.21666666666667,154.74166666666667,4.425,4.8
2021S0503555,London,500 metres from all public transit stops,70.4,70.8,70.3,70.6,67.6,67.9,68.6,68.9,72.6,72.9,69.6,69.9,70.1,70.4,75.4,75.7,19.0,33.8,23.6,19.4,62.86666666666667,61.38333333333333,66.26666666666667,65.64999999999999,500.02500000000003,523.5,5.125,6.4750000000000005
2021S0503559,Windsor,500 metres from all public transit stops,50.7,51.0,49.6,49.8,46.7,47.0,48.3,48.6,53.3,53.6,50.1,50.4,50.4,50.7,57.1,57.4,18.0,33.7,20.0,18.1,59.85833333333333,58.94166666666666,63.916666666666664,64.11666666666666,385.4083333333333,401.65000000000003,6.3500000000000005,8.058333333333334
2021S0503568,Barrie,500 metres from all public transit stops,56.5,56.5,59.0,59.0,55.3,55.3,55.8,55.7,58.3,58.3,56.4,56.4,56.6,56.6,58.9,58.8,20.3,37.3,23.0,20.3,70.03333333333333,64.125,73.375,68.49166666666666,196.11666666666667,204.525,4.55,6.375
2021S0503580,Greater Sudbury,500 metres from all public transit stops,66.9,67.0,70.8,70.8,65.0,65.0,65.8,65.9,70.0,70.0,67.2,67.3,67.5,67.5,73.5,73.8,19.6,32.7,23.1,19.7,59.166666666666664,56.73333333333333,62.025,60.125,154.39166666666668,158.91666666666666,4.591666666666667,5.608333333333333
2021S0503595,Thunder Bay,500 metres from all public transit stops,75.1,75.1,76.2,76.2,73.1,73.1,73.7,73.8,76.8,76.8,74.9,74.9,75.0,75.0,79.1,79.1,15.2,29.8,20.4,15.8,59.90833333333333,58.55833333333334,62.675000000000004,61.01666666666667,109.15833333333335,111.11666666666667,4.358333333333333,4.0249999999999995
2021S0503602,Winnipeg,500 metres from all public transit stops,83.4,83.5,85.1,85.1,82.4,82.5,82.9,82.9,85.5,85.5,83.2,83.2,83.8,83.8,87.4,87.4,21.0,35.6,27.1,21.7,64.53333333333333,63.9,67.89999999999999,67.50833333333334,741.9833333333332,775.2750000000001,4.941666666666666,5.333333333333333
2021S0503705,Regina,500 metres from all public transit stops,86.6,86.7,87.1,87.1,86.1,86.2,86.5,86.6,88.0,88.1,86.5,86.6,87.0,87.1,90.6,90.8,16.8,31.2,20.5,17.0,64.74166666666666,64.325,68.08333333333333,68.50833333333334,215.975,225.11666666666667,4.891666666666667,6.075
2021S0503725,Saskatoon,500 metres from all public transit stops,80.5,80.8,83.0,83.1,79.2,79.5,79.7,80.0,83.3,83.5,80.0,80.3,80.8,81.1,85.2,85.4,17.1,33.8,21.9,17.7,67.68333333333334,67.75833333333334,71.15833333333333,71.5,280.4166666666667,294.0,4.891666666666667,5.216666666666667
2021S0503810,Lethbridge,500 metres from all public transit stops,56.5,56.6,59.8,60.7,55.5,55.5,56.3,56.3,58.9,59.3,55.4,55.6,57.2,57.3,64.8,64.8,14.6,37.8,20.0,14.9,62.14166666666667,65.175,65.44166666666666,69.0,108.14166666666667,113.00833333333333,5.033333333333333,5.533333333333334
2021S0503825,Calgary,500 metres from all public transit stops,80.9,79.6,80.8,79.2,80.7,79.4,81.0,79.6,80.9,79.6,80.3,79.0,81.0,79.6,82.8,81.3,21.4,43.0,31.9,22.8,66.58333333333333,65.80833333333334,70.94166666666666,71.18333333333334,1355.7833333333333,1443.8416666666665,6.1499999999999995,7.55
2021S0503830,Red Deer,500 metres from all public transit stops,93.6,93.6,93.1,93.2,93.2,93.2,93.3,93.3,93.5,93.5,93.6,93.6,93.4,93.4,93.9,94.0,16.8,28.5,20.0,17.0,58.53333333333333,60.40833333333333,62.38333333333333,65.60833333333333,87.64166666666667,91.06666666666666,6.208333333333333,7.933333333333334
2021S0503835,Edmonton,500 metres from all public transit stops,75.6,74.8,76.4,75.5,74.8,74.0,75.2,74.4,76.8,75.9,75.2,74.4,75.7,74.9,78.8,77.9,21.4,40.6,29.8,22.2,66.0,63.199999999999996,70.21666666666667,68.38333333333334,1260.8666666666666,1320.6916666666666,6.008333333333333,7.591666666666666
2021S0503915,Kelowna,500 metres from all public transit stops,64.7,64.9,63.4,63.5,64.9,65.1,65.2,65.3,62.8,62.8,64.1,64.2,64.3,64.4,68.2,68.3,17.1,30.1,18.2,17.1,60.775,56.71666666666667,62.85,59.60833333333333,197.03333333333333,204.8166666666667,3.3083333333333336,4.841666666666666
2021S0503925,Kamloops,500 metres from all public transit stops,72.9,73.1,69.7,70.0,73.0,73.2,73.0,73.2,69.2,69.4,72.0,72.2,71.6,71.8,73.0,73.0,18.2,28.7,19.1,18.1,62.550000000000004,62.0,65.85000000000001,64.8,92.14166666666667,98.875,5.058333333333334,4.266666666666667
2021S0503930,Chilliwack,500 metres from all public transit stops,56.4,56.3,60.7,60.6,55.6,55.5,56.1,55.9,59.9,59.8,57.0,56.8,57.6,57.5,62.2,62.1,18.2,28.7,15.0,17.8,62.449999999999996,60.166666666666664,65.58333333333333,63.84166666666667,94.70833333333333,96.97500000000001,4.733333333333333,5.7749999999999995
2021S0503932,Abbotsford - Mission,500 metres from all public transit stops,74.2,74.1,75.5,75.4,73.2,73.1,73.7,73.6,75.4,75.4,74.3,74.3,74.3,74.2,79.5,79.3,19.2,33.0,19.6,19.1,61.10833333333333,63.300000000000004,64.64999999999999,67.05833333333334,172.125,177.42499999999998,5.508333333333333,5.608333333333333
2021S0503933,Vancouver,500 metres from all public transit stops,84.6,84.8,84.7,84.8,84.6,84.8,84.8,85.0,84.0,84.1,84.2,84.4,84.5,84.7,86.3,86.5,24.3,42.3,32.6,26.2,65.2,63.86666666666667,69.0,67.88333333333334,2490.4666666666667,2611.7999999999997,5.516666666666667,5.908333333333334
2021S0503935,Victoria,500 metres from all public transit stops,85.4,85.7,83.9,84.1,85.3,85.6,85.4,85.8,83.2,83.5,84.8,85.1,84.6,84.9,87.3,87.5,19.2,31.6,21.4,19.6,61.55833333333333,64.61666666666666,63.833333333333336,67.35000000000001,363.1666666666667,373.48333333333335,3.5749999999999997,4.05
2021S0503938,Nanaimo,500 metres from all public transit stops,69.1,69.7,67.1,68.3,69.1,69.6,69.4,69.9,67.1,67.7,68.5,69.2,68.5,69.0,71.9,72.4,16.1,29.5,19.6,16.4,61.78333333333333,60.041666666666664,65.05833333333334,62.61666666666667,105.3,107.78333333333335,5.008333333333334,4.216666666666667
2021S050524505,Ottawa - Gatineau (Quebec part),500 metres from all public transit stops,77.1,74.9,79.0,77.1,76.2,73.7,76.6,74.2,78.1,75.9,77.0,74.8,77.1,74.7,81.0,79.4,22.4,41.1,29.7,23.5,64.375,63.324999999999996,67.31666666666666,67.15833333333333,296.6666666666667,301.55833333333334,4.391666666666667,5.716666666666666
2021S050535505,Ottawa - Gatineau (Ontario part),500 metres from all public transit stops,77.2,77.3,75.9,76.0,75.9,75.9,76.5,76.5,77.3,77.3,76.6,76.6,76.7,76.8,81.8,81.9,22.4,41.1,29.7,23.5,66.05,65.41666666666667,69.13333333333334,69.39166666666667,1019.9250000000001,1055.6333333333334,4.466666666666666,5.7
